"atomicNumber";" symbol";" name";" atomicMass";" cpkHexColor";"random number";"Rand Proton Factor";"Fix Proton Factor";"gScore Factor";"Period Factor";"Group Factor";"Base Price";"Molecule Power Cost";"Compound Chance";"m³ per unit";"kg per unit";"kg/m³";" electronicConfiguration";"NumberofNeutrons";"NumberofProtons";"NumberofElectrons";"Period";"Group";" electronegativity";" atomicRadius";" ionRadius";" vanDelWaalsRadius";" ionizationEnergy";" electronAffinity";" oxidationStates";" standardState";"Radioactive";" bondingType";" meltingPoint";" boilingPoint";"adj density";"density";"gScore";" groupBlock";" yearDiscovered";"NumberofShells";"NumberofValence"
"1";" H ";" Hydrogen";" 1.00794(4)";"FFFFFF";0.305256184754912;0.994112340548771;0.00847457627118644;0.0666666666666667;0.142857142857143;0.0555555555555556;0.0235173429465688;0.0674162936874801;2.0074896975905;0.00263265306122449;0.292517006802721;0.009;"1s1 ";0;1;1;1;1;"2.2";"37";;"120";"1312";"-73";"-1, 1";"gas";"   ";"diatomic";"14";"20";0.00009;"0,00009";1;"nonmetal";"1766";1;1
"2";" He ";" Helium";" 4.002602(2)";"D9FFFF";0.148274716927102;0.985563978253002;0.0169491525423729;0.466666666666667;0.142857142857143;1;0.234363015985676;0.168743121285494;1.78101248198448;0.006;0.333333333333333;0.018;"1s2 ";2;2;2;1;18;;"32";;"140";"2372";"0";;"gas";"   ";"atomic";;"4";0.00018;"0,00018";7;"noble gas";"1868";1;
"3";" Li ";" Lithium";" 6.941(2)";"CC80FF";0.887235474812741;0.997133105291849;0.0254237288135593;0.266666666666667;0.285714285714286;0.0555555555555556;0.0551688234688652;0.154341233154792;1.78471957106356;4.07619047619048;0.0761904761904762;53.5;"[He] 2s1 ";4;3;3;2;1;"0.98";"134";"76 (+1)";"182";"520";"-60";"1";"solid";"   ";"metallic";"454";"1615";0.535;"0,535";"4";"alkali metal";"1817";2;1
"4";" Be ";" Beryllium";" 9.012182(3)";"C2FF00";0.563658277738242;0.985208755177567;0.0338983050847458;0.4;0.285714285714286;0.111111111111111;0.0823379205397373;0.17890038398513;1.71657489205326;21.12;0.114285714285714;184.8;"[He] 2s2 ";5;4;4;2;2;"1.57";"90";"45 (+2)";;"900";"0";"2";"solid";"   ";"metallic";"1560";"2743";1.848;"1,848";"6";"alkaline earth metal";"1798";2;2
"5";" B ";" Boron";" 10.811(7)";"FFB5B5";0.125638833546632;0.962950798031637;0.0423728813559322;0.333333333333333;0.285714285714286;0.722222222222222;0.175448105315021;0.201439332795265;1.74909269719986;23.4285714285714;0.0952380952380952;246;"[He] 2s2 2p1 ";6;5;5;2;13;"2.04";"82";"27 (+3)";;"801";"-27";"1, 2, 3";"solid";"   ";"covalent network";"2348";"4273";2.46;"2,46000";5;"metalloid";"1807";2;3
"6";" C ";" Carbon";" 12.0107(8)";"909090";0.742447750539923;0.98690412290881;0.0508474576271187;0.0666666666666667;0.285714285714286;0.777777777777778;0.149315310948065;0.171453029080148;1.91337205053168;4.3047619047619;0.019047619047619;226;"[He] 2s2 2p2 ";6;6;6;2;14;"2.55";"77";"16 (+4)";"170";"1087";"-154";"-4, -3, -2, -1, 1, 2, 3, 4";"solid";"   ";"covalent network";"3823";"4300";2.26;"2,26000";1;"nonmetal";"Ancient";2;4
"7";" N ";" Nitrogen";" 14.0067(2)";"3050F8";0.998192674975884;0.999892785803654;0.0593220338983051;0.0666666666666667;0.285714285714286;0.833333333333333;0.15875551039074;0.177830361728667;1.91337205053168;0.0374149659863946;0.299319727891156;0.125;"[He] 2s2 2p3 ";7;7;7;2;15;"3.04";"75";"146 (-3)";"155";"1402";"-7";"-3, -2, -1, 1, 2, 3, 4, 5";"gas";"   ";"diatomic";"63";"77";0.00125;"0,00125";1;"nonmetal";"1772";2;5
"8";" O ";" Oxygen";" 15.9994(3)";"FF0D0D";0.207395191464523;0.946264080777256;0.0677966101694915;0.0666666666666667;0.285714285714286;0.888888888888889;0.168214346023074;0.184207694377186;1.91337205053168;0.0428027210884354;0.299319727891156;0.143;"[He] 2s2 2p4 ";8;8;8;2;16;"3.44";"73";"140 (-2)";"152";"1314";"-141";"-2, -1, 1, 2";"gas";"   ";"diatomic";"55";"90";0.00143;"0,00143";1;"nonmetal";"1774";2;6
"9";" F ";" Fluorine";" 18.9984032(5)";"90E050";0.982916362730724;0.99869701071675;0.076271186440678;0.2;0.285714285714286;0.944444444444444;0.195470833356951;0.208766845207523;1.82375277565956;0.0555102040816327;0.326530612244898;0.17;"[He] 2s2 2p5 ";10;9;9;2;17;"3.98";"71";"133 (-1)";"147";"1681";"-328";"-1";"gas";"   ";"atomic";"54";"85";0.0017;"0,00170";3;"halogen";"1670";2;7
"10";" Ne ";" Neon";" 20.1797(6)";"B3E3F5";0.44944660799545;0.95334293288097;0.0847457627118644;0.466666666666667;0.285714285714286;1;0.240526249925001;0.251507814219679;1.68689483492566;0.0342857142857143;0.380952380952381;0.09;"[He] 2s2 2p6 ";10;10;10;2;18;;"69";;"154";"2081";"0";;"gas";"   ";"atomic";"25";"27";0.0009;"0,00090";7;"noble gas";"1898";2;8
"11";" Na ";" Sodium";" 22.98976928(2)";"AB5CF2";0.668449372897629;0.969092738151474;0.0932203389830509;0.266666666666667;0.428571428571429;0.0555555555555556;0.0614771511536172;0.237105926088977;1.7094254534165;11.0628571428571;0.114285714285714;96.8;"[Ne] 3s1 ";12;11;11;3;1;"0.93";"154";"102 (+1)";"227";"496";"-53";"-1, 1";"solid";"   ";"metallic";"371";"1156";0.968;"0,968";"4";"alkali metal";"1807";3;1
"12";" Mg ";" Magnesium";" 24.3050(6)";"8AFF00";0.87213009689944;0.986996281040621;0.101694915254237;0.4;0.428571428571429;0.111111111111111;0.0888010846486692;0.261665076919314;1.6412807744062;29.7942857142857;0.171428571428571;173.8;"[Ne] 3s2 ";12;12;12;3;2;"1.31";"130";"72 (+2)";"173";"738";"0";"1, 2";"solid";"   ";"metallic";"923";"1363";1.738;"1,738";"6";"alkaline earth metal";"1808";3;2
"13";" Al ";" Aluminum";" 26.9815386(8)";"BFA6A6";0.0576012152017542;0.8961764050646;0.110169491525424;0.133333333333333;0.428571428571429;0.722222222222222;0.155409500248414;0.256931298456722;1.79122387695543;15.4285714285714;0.0571428571428571;270;"[Ne] 3s2 3p1 ";14;13;13;3;13;"1.61";"118";"53.5 (+3)";;"578";"-43";"1, 3";"solid";"   ";"metallic";"933";"2792";2.7;"2,70000";2;"metal";"Ancient";3;3
"14";" Si ";" Silicon";" 28.0855(3)";"F0C8A0";0.668993351695666;0.960728024777452;0.11864406779661;0.333333333333333;0.428571428571429;0.777777777777778;0.191674205049948;0.290581358377969;1.6737985795528;33.2857142857143;0.142857142857143;233;"[Ne] 3s2 3p2 ";14;14;14;3;14;"1.9";"111";"40 (+4)";"210";"787";"-134";"-4, -3, -2, -1, 1, 2, 3, 4";"solid";"   ";"metallic";"1687";"3173";2.33;"2,33000";5;"metalloid";"1854";3;4
"15";" P ";" Phosphorus";" 30.973762(2)";"FF8000";0.603651439272163;0.949616708382055;0.127118644067797;0.0666666666666667;0.428571428571429;0.833333333333333;0.165744823726674;0.260595054662851;1.83807793288462;5.20857142857143;0.0285714285714286;182.3;"[Ne] 3s2 3p3 ";16;15;15;3;15;"2.19";"106";"44 (+3)";"180";"1012";"-72";"-3, -2, -1, 1, 2, 3, 4, 5";"solid";"   ";"covalent network";"317";"554";1.823;"1,823";"1";"nonmetal";"1669";3;5
"16";" S ";" Sulfur";" 32.065(5)";"FFFF30";0.190387777406148;0.890222071512698;0.135593220338983;0.0666666666666667;0.428571428571429;0.888888888888889;0.175400650380145;0.26697238731137;1.83807793288462;5.6;0.0285714285714286;196;"[Ne] 3s2 3p4 ";16;16;16;3;16;"2.58";"102";"184 (-2)";"180";"1000";"-200";"-2, -1, 1, 2, 3, 4, 5, 6";"solid";"   ";"covalent network";"388";"718";1.96;"1,96000";1;"nonmetal";"Ancient";3;6
"17";" Cl ";" Chlorine";" 35.453(2)";"1FF01F";0.0236686196775301;0.859342089275576;0.144067796610169;0.2;0.428571428571429;0.944444444444444;0.202865463354884;0.291531538141708;1.7484586580125;0.111367346938776;0.346938775510204;0.321;"[Ne] 3s2 3p5 ";18;17;17;3;17;"3.16";"99";"181 (-1)";"175";"1251";"-349";"-1, 1, 2, 3, 4, 5, 6, 7";"gas";"   ";"covalent network";"172";"239";0.00321;"0,00321";3;"halogen";"1774";3;7
"18";" Ar ";" Argon";" 39.948(1)";"80D1E3";0.296594557898619;0.892700864764196;0.152542372881356;0.466666666666667;0.428571428571429;1;0.248140858571716;0.334272507153863;1.6116007172786;0.0762857142857143;0.428571428571429;0.178;"[Ne] 3s2 3p6 ";22;18;18;3;18;;"97";;"188";"1521";"0";;"gas";"   ";"atomic";"84";"87";0.00178;"0,00178";7;"noble gas";"1894";3;8
"19";" K ";" Potassium";" 39.0983(1)";"8F40D4";0.310357449350336;0.888955860488613;0.161016949152542;0.266666666666667;0.571428571428571;0.0555555555555556;0.0693237098452297;0.319870619023161;1.64919015929885;13.0438095238095;0.152380952380952;85.6;"[Ar] 4s1 ";20;19;19;4;1;"0.82";"196";"138 (+1)";"275";"419";"-48";"1";"solid";"   ";"metallic";"337";"1032";0.856;"0,856";"4";"alkali metal";"1807";4;1
"20";" Ca ";" Calcium";" 40.078(4)";"3DFF00";0.485053550504647;0.9127209407635;0.169491525423729;0.4;0.571428571428571;0.111111111111111;0.0968918831694879;0.344429769853499;1.58104548028855;35.4285714285714;0.228571428571429;155;"[Ar] 4s2 ";20;20;20;4;2;"1";"174";"100 (+2)";;"590";"-2";"2";"solid";"   ";"metallic";"1115";"1757";1.55;"1,55000";6;"alkaline earth metal";"Ancient";4;2
"21";" Sc ";" Scandium";" 44.955912(6)";"E6E6E6";0.219043831711771;0.861016275135146;0.177966101694915;0.533333333333333;0.571428571428571;0.166666666666667;0.124497887511683;0.368988920683836;1.52427547083712;90.9714285714286;0.304761904761905;298.5;"[Ar] 3d1 4s2 ";24;21;21;4;3;"1.36";"144";"74.5 (+3)";;"633";"-18";"1, 2, 3";"solid";"   ";"metallic";"1814";"3103";2.985;"2,985";"8";"transition metal";"1876";4;
"22";" Ti ";" Titanium";" 47.867(1)";"BFC2C7";0.419666927504492;0.891802308517787;0.186440677966102;0.533333333333333;0.571428571428571;0.222222222222222;0.134365700208959;0.375366253332355;1.52427547083712;137.35619047619;0.304761904761905;450.7;"[Ar] 3d2 4s2 ";26;22;22;4;4;"1.54";"136";"86 (+2)";;"659";"-8";"-1, 2, 3, 4";"solid";"   ";"metallic";"1941";"3560";4.507;"4,507";"8";"transition metal";"1791";4;
"23";" V ";" Vanadium";" 50.9415(1)";"A6A6AB";0.926563817602947;0.985686167837863;0.194915254237288;0.533333333333333;0.571428571428571;0.277777777777778;0.144274893952542;0.381743585980874;1.52427547083712;186.209523809524;0.304761904761905;611;"[Ar] 3d3 4s2 ";28;23;23;4;5;"1.63";"125";"79 (+2)";;"651";"-51";"-1, 2, 3, 4";"solid";"   ";"metallic";"2183";"3680";6.11;"6,11000";"8";"transition metal";"1803";4;
"24";" Cr ";" Chromium";" 51.9961(6)";"8A99C7";0.870662388886159;0.973694045197185;0.203389830508475;0.533333333333333;0.571428571428571;0.333333333333333;0.154227303454401;0.388120918629393;1.52427547083712;217.6;0.304761904761905;714;"[Ar] 3d5 4s1 ";28;24;24;4;6;"1.66";"127";"80 (+2*)";;"653";"-64";"-2, -1, 1, 2, 3, 4, 5, 6";"solid";"   ";"metallic";"2180";"2944";7.14;"7,14000";"8";"transition metal";"Ancient";4;
"25";" Mn ";" Manganese";" 54.938045(5)";"9C7AC7";0.260100842898387;0.843241704003895;0.211864406779661;0.533333333333333;0.571428571428571;0.388888888888889;0.164224803225032;0.394498251277912;1.52427547083712;227.657142857143;0.304761904761905;747;"[Ar] 3d5 4s2 ";30;25;25;4;7;"1.55";"139";"67 (+2)";;"717";"0";"-3, -2, -1, 1, 2, 3, 4, 5, 6, 7";"solid";"   ";"metallic";"1519";"2334";7.47;"7,47000";"8";"transition metal";"1774";4;
"26";" Fe ";" Iron";" 55.845(2)";"E06633";0.504314275409251;0.890781111530852;0.220338983050847;0.533333333333333;0.571428571428571;0.444444444444444;0.174269307573456;0.400875583926431;1.52427547083712;239.969523809524;0.304761904761905;787.4;"[Ar] 3d6 4s2 ";30;26;26;4;8;"1.83";"125";"78 (+2*)";;"763";"-16";"-2, -1, 1, 2, 3, 4, 5, 6";"solid";"   ";"metallic";"1811";"3134";7.874;"7,874";"8";"transition metal";"Ancient";4;
"27";" Co ";" Cobalt";" 58.933195(5)";"F090A0";0.0690500034973841;0.786986017749401;0.228813559322034;0.533333333333333;0.571428571428571;0.5;0.184362770607215;0.40725291657495;1.52427547083712;271.238095238095;0.304761904761905;890;"[Ar] 3d7 4s2 ";32;27;27;4;9;"1.88";"126";"74.5 (+2*)";;"760";"-64";"-1, 1, 2, 3, 4, 5";"solid";"   ";"metallic";"1768";"3200";8.9;"8,90000";"8";"transition metal";"Ancient";4;
"28";" Ni ";" Nickel";" 58.6934(4)";"50D050";0.340126564825754;0.843419862840009;0.23728813559322;0.533333333333333;0.571428571428571;0.555555555555556;0.194507186232378;0.41363024922347;1.52427547083712;271.481904761905;0.304761904761905;890.8;"[Ar] 3d8 4s2 ";31;28;28;4;10;"1.91";"121";"69 (+2)";"163";"737";"-112";"-1, 1, 2, 3, 4";"solid";"   ";"metallic";"1728";"3186";8.908;"8,908";"8";"transition metal";"1751";4;
"29";" Cu ";" Copper";" 63.546(3)";"C88033";0.489744239656205;0.874598160593474;0.245762711864407;0.533333333333333;0.571428571428571;0.611111111111111;0.204704588153538;0.420007581871989;1.52427547083712;271.847619047619;0.304761904761905;892;"[Ar] 3d10 4s1 ";35;29;29;4;11;"1.9";"138";"77 (+1)";"140";"746";"-118";"1, 2, 3, 4";"solid";"   ";"metallic";"1358";"3200";8.92;"8,92000";"8";"transition metal";"Ancient";4;
"30";" Zn ";" Zinc";" 65.38(2)";"7D80B0";0.527694277703391;0.879922273992387;0.254237288135593;0.533333333333333;0.571428571428571;0.666666666666667;0.214957049873812;0.426384914520508;1.52427547083712;217.6;0.304761904761905;714;"[Ar] 3d10 4s2 ";35;30;30;4;12;"1.65";"131";"74 (+2)";"139";"906";"0";"2";"solid";"   ";"metallic";"693";"1180";7.14;"7,14000";"8";"transition metal";"1746";4;
"31";" Ga ";" Gallium";" 69.723(1)";"C28F8F";0.63636694502166;0.904469282166708;0.26271186440678;0.133333333333333;0.571428571428571;0.722222222222222;0.171933351361508;0.378216792623572;1.73098858283778;44.9828571428571;0.0761904761904762;590.4;"[Ar] 3d10 4s2 4p1 ";39;31;31;4;13;"1.81";"126";"62 (+3)";"187";"579";"-29";"1, 2, 3";"solid";"   ";"metallic";"303";"2477";5.904;"5,904";"2";"metal";"1875";4;3
"32";" Ge ";" Germanium";" 72.64(1)";"668F8F";0.107846811756991;0.758060152340879;0.271186440677966;0.333333333333333;0.571428571428571;0.777777777777778;0.208968979050124;0.411866852544819;1.61356328543515;101.390476190476;0.19047619047619;532.3;"[Ar] 3d10 4s2 4p2 ";41;32;32;4;14;"2.01";"122";"73 (+2)";;"762";"-119";"-4, 1, 2, 3, 4";"solid";"   ";"metallic";"1211";"3093";5.323;"5,323";"5";"metalloid";"1886";4;4
"33";" As ";" Arsenic";" 74.92160(2)";"BD80E3";0.805746388994291;0.945674837600098;0.279661016949152;0.333333333333333;0.571428571428571;0.833333333333333;0.219399459171684;0.418244185193338;1.61356328543515;109.085714285714;0.19047619047619;572.7;"[Ar] 3d10 4s2 4p3 ";42;33;33;4;15;"2.18";"119";"58 (+3)";"185";"947";"-78";"-3, 2, 3, 5";"solid";"   ";"metallic";"1090";"887";5.727;"5,727";"5";"metalloid";"Ancient";4;5
"34";" Se ";" Selenium";" 78.96(3)";"FFA100";0.376099029955084;0.820231923885363;0.288135593220339;0.0666666666666667;0.571428571428571;0.888888888888889;0.194338135534513;0.38825788147822;1.77784263876697;18.3580952380952;0.0380952380952381;481.9;"[Ar] 3d10 4s2 4p4 ";45;34;34;4;16;"2.55";"116";"198 (-2)";"190";"941";"-195";"-2, 2, 4, 6";"solid";"   ";"metallic";"494";"958";4.819;"4,819";"1";"nonmetal";"1817";4;6
"35";" Br ";" Bromine";" 79.904(1)";"A62929";0.929369185679383;0.979050182193037;0.296610169491525;0.2;0.571428571428571;0.944444444444444;0.222676169523239;0.412817032308558;1.68822336389485;35.6571428571429;0.114285714285714;312;"[Ar] 3d10 4s2 4p5 ";45;35;35;4;17;"2.96";"114";"196 (-1)";"185";"1140";"-325";"-1, 1, 3, 4, 5, 7";"liquid";"   ";"covalent network";"266";"332";3.12;"3,12000";3;"halogen";"1826";4;7
"36";" Kr ";" Krypton";" 83.798(2)";"5CB8D1";0.912047708430745;0.973167097487346;0.305084745762712;0.466666666666667;0.571428571428571;1;0.268860317876568;0.455558001320713;1.55136542316096;0.178571428571429;0.476190476190476;0.375;"[Ar] 3d10 4s2 4p6 ";48;36;36;4;18;;"110";;"202";"1351";"0";"2";"gas";"   ";"atomic";"116";"120";0.00375;"0,00375";7;"noble gas";"1898";4;8
"37";" Rb ";" Rubidium";" 85.4678(3)";"702EB0";0.0140081155672106;0.690833053186329;0.313559322033898;0.266666666666667;0.714285714285714;0.0555555555555556;0.0909881707825261;0.441156113190012;1.60100192400473;29.1809523809524;0.19047619047619;153.2;"[Kr] 5s1 ";48;37;37;5;1;"0.82";"211";"152 (+1)";;"403";"-47";"1";"solid";"   ";"metallic";"312";"961";1.532;"1,532";"4";"alkali metal";"1861";5;1
"38";" Sr ";" Strontium";" 87.62(1)";"00FF00";0.760755710457622;0.922955228791438;0.322033898305085;0.4;0.714285714285714;0.111111111111111;0.119538310608615;0.465715264020349;1.53285724499443;75.1428571428571;0.285714285714286;263;"[Kr] 5s2 ";50;38;38;5;2;"0.95";"192";"118 (+2)";;"550";"-5";"2";"solid";"   ";"metallic";"1050";"1655";2.63;"2,63000";6;"alkaline earth metal";"1790";5;2
"39";" Y ";" Yttrium";" 88.90585(2)";"94FFFF";0.142137794484636;0.716469271058481;0.330508474576271;0.6;0.714285714285714;0.166666666666667;0.157052851584354;0.499365323941595;1.45136135601545;191.657142857143;0.428571428571429;447.2;"[Kr] 4d1 5s2 ";50;39;39;5;3;"1.22";"162";"90 (+3)";;"600";"-30";"1, 2, 3";"solid";"   ";"metallic";"1799";"3618";4.472;"4,472";"9";"transition metal";"1794";5;
"40";" Zr ";" Zirconium";" 91.224(2)";"94E0E0";0.364243981728495;0.784489485331693;0.338983050847458;0.6;0.714285714285714;0.222222222222222;0.167978709642546;0.505742656590114;1.45136135601545;279.042857142857;0.428571428571429;651.1;"[Kr] 4d2 5s2 ";51;40;40;5;4;"1.33";"148";"72 (+4)";;"640";"-41";"1, 2, 3, 4";"solid";"   ";"metallic";"2128";"4682";6.511;"6,511";"9";"transition metal";"1789";5;
"41";" Nb ";" Niobium";" 92.90638(2)";"73C2C9";0.079656201411282;0.680219527609005;0.347457627118644;0.6;0.714285714285714;0.277777777777778;0.178985062736743;0.512119989238633;1.45136135601545;367.285714285714;0.428571428571429;857;"[Kr] 4d4 5s1 ";52;41;41;5;5;"1.6";"137";"72 (+3)";;"652";"-86";"-1, 2, 3, 4, 5";"solid";"   ";"metallic";"2750";"5017";8.57;"8,57000";"9";"transition metal";"1801";5;
"42";" Mo ";" Molybdenum";" 95.96(2)";"54B5B5";0.159675760781747;0.700901541973164;0.35593220338983;0.6;0.714285714285714;0.333333333333333;0.190074461952354;0.518497321887153;1.45136135601545;440.571428571429;0.428571428571429;1028;"[Kr] 4d5 5s1 ";54;42;42;5;6;"2.16";"145";"69 (+3)";;"684";"-72";"-2, -1, 1, 2, 3, 4, 5, 6";"solid";"   ";"metallic";"2896";"4912";10.28;"10,28000";"9";"transition metal";"1778";5;
"43";" Tc ";" Technetium";" [98]";"3B9E9E";0.536308653177051;0.83102772954757;0.364406779661017;0.6;0.714285714285714;0.388888888888889;0.201249498173311;0.524874654535671;1.45136135601545;492.857142857143;0.428571428571429;1150;"[Kr] 4d5 5s2 ";55;43;43;5;7;"1.9";"156";"64.5 (+4)";;"702";"-53";"-3, -1, 1, 2, 3, 4, 5, 6, 7";"solid";"yes";"metallic";"2430";"4538";11.5;"11,50000";"9";"transition metal";"1937";5;
"44";" Ru ";" Ruthenium";" 101.07(2)";"248F8F";0.234641906586184;0.71461223635417;0.372881355932203;0.6;0.714285714285714;0.444444444444444;0.212512802082073;0.531251987184191;1.45136135601545;530.142857142857;0.428571428571429;1237;"[Kr] 4d7 5s1 ";57;44;44;5;8;"2.2";"126";"68 (+3)";;"710";"-101";"-2, 1, 2, 3, 4, 5, 6, 7, 8";"solid";"   ";"metallic";"2607";"4423";12.37;"12,37000";"9";"transition metal";"1827";5;
"45";" Rh ";" Rhodium";" 102.90550(2)";"0A7D8C";0.86577301965839;0.948811744784979;0.38135593220339;0.6;0.714285714285714;0.5;0.22386704415962;0.53762931983271;1.45136135601545;533.571428571429;0.428571428571429;1245;"[Kr] 4d8 5s1 ";58;45;45;5;9;"2.28";"135";"66.5 (+3)";;"720";"-110";"-1, 1, 2, 3, 4, 5, 6";"solid";"   ";"metallic";"2237";"3968";12.45;"12,45000";"9";"transition metal";"1803";5;
"46";" Pd ";" Palladium";" 106.42(1)";"6985";0.453385443517846;0.786912969506957;0.389830508474576;0.6;0.714285714285714;0.555555555555556;0.235314934685459;0.544006652481229;1.45136135601545;515.271428571429;0.428571428571429;1202.3;"[Kr] 4d10 ";60;46;46;5;10;"2.2";"131";"59 (+1)";"163";"804";"-54";"2, 4";"solid";"   ";"metallic";"1828";"3236";12.023;"12,023";"9";"transition metal";"1803";5;
"47";" Ag ";" Silver";" 107.8682(2)";"C0C0C0";0.840637129212117;0.936524958245504;0.398305084745763;0.6;0.714285714285714;0.611111111111111;0.246859223737621;0.550383985129748;1.45136135601545;449.571428571429;0.428571428571429;1049;"[Kr] 4d10 5s1 ";61;47;47;5;11;"1.93";"153";"115 (+1)";"172";"731";"-126";"1, 2, 3";"solid";"   ";"metallic";"1235";"2435";10.49;"10,49000";"9";"transition metal";"Ancient";5;
"48";" Cd ";" Cadmium";" 112.411(8)";"FFD98F";0.672961135306357;0.866967241480552;0.406779661016949;0.6;0.714285714285714;0.666666666666667;0.258502701192658;0.556761317778267;1.45136135601545;370.714285714286;0.428571428571429;865;"[Kr] 4d10 5s2 ";64;48;48;5;12;"1.69";"148";"95 (+2)";"158";"868";"0";"2";"solid";"   ";"metallic";"594";"1040";8.65;"8,65000";"9";"transition metal";"1817";5;
"49";" In ";" Indium";" 114.818(3)";"A67573";0.907868099468481;0.961741837914878;0.415254237288136;0.133333333333333;0.714285714285714;0.722222222222222;0.20802597450343;0.499502286790422;1.68280034754366;69.6190476190476;0.0952380952380952;731;"[Kr] 4d10 5s2 5p1 ";66;49;49;5;13;"1.78";"144";"80 (+3)";"193";"558";"-29";"1, 2, 3";"solid";"   ";"metallic";"430";"2345";7.31;"7,31000";2;"metal";"1863";5;3
"50";" Sn ";" Tin";" 118.710(7)";"668080";0.230806080325914;0.674070373019455;0.423728813559322;0.133333333333333;0.714285714285714;0.777777777777778;0.219876357587982;0.505879619438942;1.68280034754366;69.6190476190476;0.0952380952380952;731;"[Kr] 4d10 5s2 5p2 ";69;50;50;5;14;"1.96";"141";"112 (+2)";"217";"709";"-107";"-4, 2, 4";"solid";"   ";"metallic";"505";"2875";7.31;"7,31000";2;"metal";"Ancient";5;4
"51";" Sb ";" Antimony";" 121.760(1)";"9E63B5";0.471536004051103;0.771596069547511;0.432203389830509;0.333333333333333;0.714285714285714;0.833333333333333;0.258501204162888;0.539529679360188;1.56537505014103;159.452380952381;0.238095238095238;669.7;"[Kr] 4d10 5s2 5p3 ";71;51;51;5;15;"2.05";"138";"76 (+3)";;"834";"-103";"-3, 3, 5";"solid";"   ";"metallic";"904";"1860";6.697;"6,697";"5";"metalloid";"Ancient";5;5
"52";" Te ";" Tellurium";" 127.60(3)";"D47A00";0.642654483582645;0.84252570462964;0.440677966101695;0.333333333333333;0.714285714285714;0.888888888888889;0.270570129965466;0.545907012008707;1.56537505014103;148.571428571429;0.238095238095238;624;"[Kr] 4d10 5s2 5p4 ";76;52;52;5;16;"2.1";"135";"221 (-2)";"206";"869";"-190";"-2, 2, 4, 5, 6";"solid";"   ";"metallic";"723";"1261";6.24;"6,24000";5;"metalloid";"1782";5;6
"53";" I ";" Iodine";" 126.90447(3)";"940094";0.00566425228918833;0.553391570943449;0.449152542372881;0.2;0.714285714285714;0.944444444444444;0.26497501275378;0.534102526475408;1.64003512860074;70.5714285714286;0.142857142857143;494;"[Kr] 4d10 5s2 5p5 ";74;53;53;5;17;"2.66";"133";"220 (-1)";"198";"1008";"-295";"-1, 1, 3, 5, 7";"solid";"   ";"covalent network";"387";"457";4.94;"4,94000";3;"halogen";"1811";5;7
"54";" Xe ";" Xenon";" 131.293(6)";"429EB0";0.328826345368899;0.692852734321361;0.457627118644068;0.466666666666667;0.714285714285714;1;0.312829992306643;0.576843495487563;1.50317718786684;0.309047619047619;0.523809523809524;0.59;"[Kr] 4d10 5s2 5p6 ";77;54;54;5;18;;"130";"48 (+8)";"216";"1170";"0";"2, 4, 6, 8";"gas";"   ";"atomic";"161";"165";0.0059;"0,00590";7;"noble gas";"1898";5;8
"55";" Cs ";" Cesium";" 132.9054519(2)";"57178F";0.162998803246385;0.609872323547044;0.466101694915254;0.266666666666667;0.857142857142857;0.0555555555555556;0.136677819629962;0.562441607356862;1.56245133576944;42.9485714285714;0.228571428571429;187.9;"[Xe] 6s1 ";78;55;55;6;1;"0.79";"225";"167 (+1)";;"376";"-46";"1";"solid";"   ";"metallic";"302";"944";1.879;"1,879";"4";"alkali metal";"1860";6;1
